,service_id,,start_date,,end_date,,monday,,tuesday,,wednesday,,thursday,,friday,,saturday,,sunday,
111,8_merged_2013844,101,20140413,222,20140816,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,21_merged_2013864,101,20140817,222,20141206,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,4_merged_2013874,101,20140817,222,20141206,333,1,444,1,555,1,666,1,777,1,888,0,999,0,AAA
111,123704_merged_2013860,101,20140817,222,20141206,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,71304_merged_2013886,101,20140817,222,20141206,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,128004_merged_2013859,101,20140817,222,20141206,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,123704_merged_2013827,101,20140413,222,20140816,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,18_merged_2013857,101,20140413,222,20140816,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,24904_merged_2013875,101,20140817,222,20141206,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,11_merged_2013848,101,20140413,222,20140816,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,1004_merged_2013858,101,20140413,222,20140816,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,25_merged_2013862,101,20140817,222,20141206,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,16_merged_2013888,101,20140817,222,20141206,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,12704_merged_2013847,101,20140413,222,20140816,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,116303,101,20140413,222,20140816,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,9_merged_2013843,101,20140413,222,20140816,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,32404_merged_2013845,101,20140413,222,20140816,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,150804_merged_2013869,101,20140817,222,20141206,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,82404_merged_2013868,101,20140817,222,20141206,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,10_merged_2013849,101,20140413,222,20140816,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,2_merged_2013840,101,20140413,222,20140816,333,0,444,0,555,0,666,0,777,0,888,1,999,0,AAA
111,168202_merged_2013846,101,20140413,222,20140816,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,20_merged_2013863,101,20140817,222,20141206,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,16_merged_2013855,101,20140413,222,20140816,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,19_merged_2013856,101,20140413,222,20140816,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,46304,101,20140817,222,20141206,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,11_merged_2013881,101,20140817,222,20141206,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,84204,101,20140413,222,20140816,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,12_merged_2013851,101,20140413,222,20140816,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,15_merged_2013852,101,20140413,222,20140816,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,13304_merged_2013867,101,20140817,222,20141206,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,3_merged_2013839,101,20140413,222,20140816,333,0,444,0,555,0,666,0,777,0,888,0,999,1,AAA
111,22_merged_2013832,101,20140413,222,20140816,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,24_merged_2013828,101,20140413,222,20140816,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,19_merged_2013889,101,20140817,222,20141206,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,8_merged_2013877,101,20140817,222,20141206,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,32404_merged_2013878,101,20140817,222,20141206,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,1_merged_2013871,101,20140817,222,20141206,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,1_merged_2013838,101,20140413,222,20140816,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,24_merged_2013861,101,20140817,222,20141206,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,10_merged_2013882,101,20140817,222,20141206,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,71304_merged_2013853,101,20140413,222,20140816,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,17_merged_2013887,101,20140817,222,20141206,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,1004_merged_2013891,101,20140817,222,20141206,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,23_merged_2013866,101,20140817,222,20141206,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,15_merged_2013885,101,20140817,222,20141206,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,57902_merged_2013837,101,20140413,222,20140816,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,150804_merged_2013836,101,20140413,222,20140816,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,3_merged_2013872,101,20140817,222,20141206,333,0,444,0,555,0,666,0,777,0,888,0,999,1,AAA
111,18_merged_2013890,101,20140817,222,20141206,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,2_merged_2013873,101,20140817,222,20141206,333,0,444,0,555,0,666,0,777,0,888,1,999,0,AAA
111,168202_merged_2013879,101,20140817,222,20141206,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,13_merged_2013883,101,20140817,222,20141206,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,128004_merged_2013826,101,20140413,222,20140816,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,23_merged_2013833,101,20140413,222,20140816,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,9_merged_2013876,101,20140817,222,20141206,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,17_merged_2013854,101,20140413,222,20140816,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,25_merged_2013829,101,20140413,222,20140816,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,13304_merged_2013834,101,20140413,222,20140816,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,12_merged_2013884,101,20140817,222,20141206,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,13_merged_2013850,101,20140413,222,20140816,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,82404_merged_2013835,101,20140413,222,20140816,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,24904_merged_2013842,101,20140413,222,20140816,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,21_merged_2013831,101,20140413,222,20140816,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,4_merged_2013841,101,20140413,222,20140816,333,1,444,1,555,1,666,1,777,1,888,0,999,0,AAA
111,57902_merged_2013870,101,20140817,222,20141206,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,12704_merged_2013880,101,20140817,222,20141206,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,22_merged_2013865,101,20140817,222,20141206,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
111,20_merged_2013830,101,20140413,222,20140816,333,0,444,0,555,0,666,0,777,0,888,0,999,0,AAA
